SENSOR2,157.08,0.65,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,65.16,-2.22,0.00,,SJ
TP1,8.03,60.40,0.00,TPTP20R,TP20R
TP10,21.96,28.70,0.00,TPTP20R,TP20R
TP11,7.21,28.70,0.00,TPTP20R,TP20R
TP12,17.21,60.30,0.00,TPTP20R,TP20R
TP13,22.26,60.30,0.00,TPTP20R,TP20R
TP14,127.41,52.10,0.00,TPTP20R,TP20R
TP15,89.96,62.50,0.00,TPTP20R,TP20R
TP16,89.99,57.50,0.00,TPTP20R,TP20R
TP17,95.26,1.50,0.00,TPTP20R,TP20R
TP2,12.55,60.30,0.00,TPTP20R,TP20R
TP3,137.77,52.00,0.00,TPTP20R,TP20R
TP4,117.39,52.20,0.00,TPTP20R,TP20R
TP5,89.89,67.58,0.00,TPTP20R,TP20R
TP6,27.51,60.28,0.00,TPTP20R,TP20R
TP7,16.93,28.68,0.00,TPTP20R,TP20R
TP8,12.05,28.78,0.00,TPTP20R,TP20R
TP9,3.17,60.38,0.00,TPTP20R,TP20R
U1,39.30,46.56,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.05,46.34,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,87.00,43.25,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,139.04,39.13,0.00,MAX17048G+T10,SON50P200X200X80-9N
